127.0.0.1 - - [18/Jun/2018:10:49:50 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:52 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:53 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:53 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:53 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:53 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:53 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:53 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:49:53 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:22 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:22 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:22 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:22 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:22 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:22 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:22 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:23 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:31 +0530] "GET /collabrationFront/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:10:50:46 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
